year,num_fell_found,num_fell_found_sqrt
860,1,1.0
920,1,1.0
1399,1,1.0
1490,1,1.0
1491,1,1.0
1495,1,1.0
1519,1,1.0
1575,1,1.0
1583,1,1.0
1600,1,1.0
1621,1,1.0
1623,1,1.0
1628,1,1.0
1632,1,1.0
1636,1,1.0
1637,1,1.0
1647,1,1.0
1654,1,1.0
1662,1,1.0
1668,1,1.0
1671,1,1.0
1688,1,1.0
1704,1,1.0
1715,1,1.0
1716,1,1.0
1723,1,1.0
1724,1,1.0
1740,1,1.0
1741,1,1.0
1749,1,1.0
1750,1,1.0
1751,1,1.0
1753,2,1.4142135623730951
1766,1,1.0
1768,2,1.4142135623730951
1769,1,1.0
1773,1,1.0
1775,2,1.4142135623730951
1776,1,1.0
1779,1,1.0
1781,1,1.0
1784,2,1.4142135623730951
1785,1,1.0
1787,1,1.0
1790,1,1.0
1791,1,1.0
1792,1,1.0
1793,1,1.0
1794,1,1.0
1795,2,1.4142135623730951
1796,2,1.4142135623730951
1797,1,1.0
1798,2,1.4142135623730951
1801,1,1.0
1803,3,1.7320508075688772
1804,6,2.449489742783178
1805,3,1.7320508075688772
1806,1,1.0
1807,2,1.4142135623730951
1808,5,2.23606797749979
1809,1,1.0
1810,5,2.23606797749979
1811,3,1.7320508075688772
1812,4,2.0
1813,2,1.4142135623730951
1814,5,2.23606797749979
1815,2,1.4142135623730951
1817,1,1.0
1818,5,2.23606797749979
1819,3,1.7320508075688772
1820,1,1.0
1821,1,1.0
1822,8,2.8284271247461903
1823,2,1.4142135623730951
1824,3,1.7320508075688772
1825,3,1.7320508075688772
1826,3,1.7320508075688772
1827,3,1.7320508075688772
1828,2,1.4142135623730951
1829,4,2.0
1830,2,1.4142135623730951
1831,2,1.4142135623730951
1832,1,1.0
1833,1,1.0
1834,3,1.7320508075688772
1835,2,1.4142135623730951
1836,5,2.23606797749979
1837,5,2.23606797749979
1838,7,2.6457513110645907
1839,5,2.23606797749979
1840,7,2.6457513110645907
1841,4,2.0
1842,5,2.23606797749979
1843,7,2.6457513110645907
1844,4,2.0
1845,3,1.7320508075688772
1846,7,2.6457513110645907
1847,5,2.23606797749979
1848,4,2.0
1849,3,1.7320508075688772
1850,8,2.8284271247461903
1851,3,1.7320508075688772
1852,8,2.8284271247461903
1853,5,2.23606797749979
1854,9,3.0
1855,9,3.0
1856,6,2.449489742783178
1857,10,3.1622776601683795
1858,8,2.8284271247461903
1859,5,2.23606797749979
1860,11,3.3166247903554
1861,6,2.449489742783178
1862,3,1.7320508075688772
1863,15,3.872983346207417
1864,4,2.0
1865,8,2.8284271247461903
1866,12,3.4641016151377544
1867,8,2.8284271247461903
1868,16,4.0
1869,12,3.4641016151377544
1870,6,2.449489742783178
1871,7,2.6457513110645907
1872,6,2.449489742783178
1873,10,3.1622776601683795
1874,6,2.449489742783178
1875,13,3.605551275463989
1876,9,3.0
1877,9,3.0
1878,9,3.0
1879,14,3.7416573867739413
1880,15,3.872983346207417
1881,10,3.1622776601683795
1882,9,3.0
1883,10,3.1622776601683795
1884,11,3.3166247903554
1885,7,2.6457513110645907
1886,10,3.1622776601683795
1887,21,4.58257569495584
1888,15,3.872983346207417
1889,15,3.872983346207417
1890,20,4.47213595499958
1891,10,3.1622776601683795
1892,11,3.3166247903554
1893,12,3.4641016151377544
1894,10,3.1622776601683795
1895,10,3.1622776601683795
1896,10,3.1622776601683795
1897,12,3.4641016151377544
1898,17,4.123105625617661
1899,14,3.7416573867739413
1900,17,4.123105625617661
1901,10,3.1622776601683795
1902,12,3.4641016151377544
1903,22,4.69041575982343
1904,11,3.3166247903554
1905,14,3.7416573867739413
1906,13,3.605551275463989
1907,16,4.0
1908,13,3.605551275463989
1909,11,3.3166247903554
1910,20,4.47213595499958
1911,12,3.4641016151377544
1912,12,3.4641016151377544
1913,11,3.3166247903554
1914,18,4.242640687119285
1915,13,3.605551275463989
1916,20,4.47213595499958
1917,19,4.358898943540674
1918,15,3.872983346207417
1919,14,3.7416573867739413
1920,14,3.7416573867739413
1921,18,4.242640687119285
1922,15,3.872983346207417
1923,16,4.0
1924,18,4.242640687119285
1925,18,4.242640687119285
1926,13,3.605551275463989
1927,16,4.0
1928,16,4.0
1929,15,3.872983346207417
1930,20,4.47213595499958
1931,22,4.69041575982343
1932,25,5.0
1933,30,5.477225575051661
1934,27,5.196152422706632
1935,19,4.358898943540674
1936,35,5.916079783099616
1938,45,6.708203932499369
1939,32,5.656854249492381
1940,37,6.082762530298219
1941,23,4.795831523312719
1942,20,4.47213595499958
1943,10,3.1622776601683795
1944,20,4.47213595499958
1945,11,3.3166247903554
1946,13,3.605551275463989
1947,19,4.358898943540674
1948,20,4.47213595499958
1949,23,4.795831523312719
1950,40,6.324555320336759
1951,20,4.47213595499958
1952,18,4.242640687119285
1953,9,3.0
1954,22,4.69041575982343
1955,24,4.898979485566356
1956,27,5.196152422706632
1957,18,4.242640687119285
1958,18,4.242640687119285
1959,16,4.0
1960,30,5.477225575051661
1961,27,5.196152422706632
1962,36,6.0
1963,34,5.830951894845301
1964,33,5.744562646538029
1965,50,7.0710678118654755
1966,26,5.0990195135927845
1967,37,6.082762530298219
1970,48,6.928203230275509
1971,49,7.0
1972,32,5.656854249492381
1973,31,5.5677643628300215
1976,52,7.211102550927978
2013,11,3.3166247903554
